127.0.0.1 - - [02/Oct/2023:21:19:32 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Oct/2023:21:19:34 +0530] "GET /Complaint/AddComplaint.jsp HTTP/1.1" 200 1006
0:0:0:0:0:0:0:1 - - [02/Oct/2023:21:19:34 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [02/Oct/2023:21:20:04 +0530] "GET /Complaint/AddComplaint.jsp?complaintType=ajdai&cdescription=oiydoqw&complaintdate=2023-10-18&severity=Medium&status=dyquiw HTTP/1.1" 200 1006
0:0:0:0:0:0:0:1 - - [02/Oct/2023:21:31:28 +0530] "GET /Complaint/showComplaint.jsp HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [02/Oct/2023:21:40:18 +0530] "GET /Complaint/showComplaint.jsp HTTP/1.1" 200 1285
0:0:0:0:0:0:0:1 - - [02/Oct/2023:21:41:04 +0530] "GET /Complaint/showComplaint.jsp HTTP/1.1" 200 1285
0:0:0:0:0:0:0:1 - - [02/Oct/2023:21:41:06 +0530] "GET /Complaint/showComplaint.jsp HTTP/1.1" 200 1285
0:0:0:0:0:0:0:1 - - [02/Oct/2023:21:47:52 +0530] "GET /Complaint/showComplaint.jsp HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [02/Oct/2023:21:47:53 +0530] "GET /Complaint/showComplaint.jsp HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [02/Oct/2023:21:48:00 +0530] "GET /Complaint/showComplaint.jsp HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [02/Oct/2023:21:48:17 +0530] "GET /Complaint/showComplaint.jsp HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [02/Oct/2023:21:48:18 +0530] "GET /Complaint/showComplaint.jsp HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [02/Oct/2023:21:53:02 +0530] "GET /Complaint/showComplaint.jsp HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [02/Oct/2023:21:53:03 +0530] "GET /Complaint/showComplaint.jsp HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [02/Oct/2023:21:59:52 +0530] "GET /Complaint/showComplaint.jsp HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:00:57 +0530] "GET /Complaint/showComplaint.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:02:10 +0530] "GET /Complaint/showComplaint.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:03:23 +0530] "GET /Complaint/showComplaint.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:03:23 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:13:07 +0530] "GET /Complaint/AddComplaint.jsp HTTP/1.1" 500 4138
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:19:11 +0530] "GET /Complaint/AddComplaint.jsp HTTP/1.1" 500 2740
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:19:43 +0530] "GET /Complaint/AddComplaint.jsp HTTP/1.1" 200 2883
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:19:43 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:20:19 +0530] "GET /Complaint/showComplaint.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:21:29 +0530] "GET /Complaint/AddComplaint.jsp HTTP/1.1" 200 2869
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:22:01 +0530] "GET /Complaint/AddComplaint.jsp HTTP/1.1" 200 2914
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:22:25 +0530] "GET /Complaint/AddComplaint.jsp HTTP/1.1" 200 2928
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:24:24 +0530] "GET /Complaint/AddComplaint.jsp HTTP/1.1" 200 2928
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:24:36 +0530] "GET /Complaint/showComplaint.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:24:56 +0530] "GET /Complaint/AddComplaint.jsp HTTP/1.1" 200 2928
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:26:56 +0530] "POST /Complaint/AddComplaint.jsp HTTP/1.1" 500 3039
