127.0.0.1 - - [26/Sep/2023:22:27:39 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:27:40 +0530] "GET /library/Menu.jsp HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:27:40 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:27:42 +0530] "GET /library/Search.jsp HTTP/1.1" 200 2020
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:27:48 +0530] "GET /library/SearchPrint.jsp?searchtype=all&searchvalue= HTTP/1.1" 200 4488
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:27:53 +0530] "GET /library/IssueBook.jsp HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:28:06 +0530] "POST /library/IssueBook.jsp HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:35:46 +0530] "GET /library/SearchPrint.jsp HTTP/1.1" 500 2699
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:36:33 +0530] "GET /library/Menu.jsp HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:36:45 +0530] "GET /library/Search.jsp HTTP/1.1" 200 2020
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:38:28 +0530] "GET /library/IssueBook.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:38:51 +0530] "POST /library/IssueBook.jsp HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:45:18 +0530] "POST /library/IssueBook.jsp HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:45:35 +0530] "GET /library/Search.jsp HTTP/1.1" 200 2020
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:45:36 +0530] "GET /library/Search.jsp HTTP/1.1" 200 2020
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:45:40 +0530] "GET /library/SearchPrint.jsp?searchtype=all&searchvalue= HTTP/1.1" 200 4426
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:47:11 +0530] "GET /library/SearchPrint.jsp?searchtype=all&searchvalue= HTTP/1.1" 200 4488
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:47:14 +0530] "GET /library/IssueBook.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:47:22 +0530] "POST /library/IssueBook.jsp HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:47:57 +0530] "GET /library/Login.jsp HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:48:15 +0530] "GET /library/AddUser.jsp HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:48:39 +0530] "POST /library/AddUser.jsp HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:48:52 +0530] "GET /library/Login.jsp HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:49:01 +0530] "POST /library/Login.jsp HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:49:03 +0530] "GET /library/Search.jsp HTTP/1.1" 200 2022
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:49:08 +0530] "GET /library/SearchPrint.jsp?searchtype=all&searchvalue= HTTP/1.1" 200 4490
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:49:12 +0530] "GET /library/IssueBook.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:49:21 +0530] "POST /library/IssueBook.jsp HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:49:37 +0530] "POST /library/IssueBook.jsp HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:49:41 +0530] "POST /library/IssueBook.jsp HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:49:46 +0530] "GET /library/IssueBook.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:49:49 +0530] "GET /library/IssueBook.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:50:01 +0530] "POST /library/IssueBook.jsp HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:51:17 +0530] "GET /library/IssueBook.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:51:18 +0530] "GET /library/IssueBook.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:51:26 +0530] "POST /library/IssueBook.jsp HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [26/Sep/2023:22:51:38 +0530] "POST /library/IssueBook.jsp HTTP/1.1" 200 684
